step,coverage,distance,uncertainty,siren
0,0.0,4.7033335595996375,0.002141238802260422,
1,0.0,13.205124404956653,0.002340771759565299,
2,0.0,25.718840505117427,0.002420050706939785,
3,0.0,30.440173105816733,0.0028061053917714162,
4,0.0,38.405733751939856,0.003087208290018154,
5,0.0,49.681908131243745,0.003282530886893316,
6,0.0,65.1686039810527,0.003337123688115066,
7,0.0,69.7731493539559,0.0038267009916948154,
8,0.0,76.75673174311596,0.004387385410252804,
9,0.0,86.39058294849436,0.004658627604252413,
10,0.0,93.40927866065108,0.005241175261074871,
11,0.0,100.52260608801078,0.005690330527536571,
12,0.0,105.37417630801642,0.006093763427716396,
13,0.0,111.96377083067708,0.00656033320652625,
14,0.0,116.78782140542434,0.006758167533181646,
15,0.0,121.60282700641683,0.006930059004448574,
16,0.0,130.02824437513223,0.007076839085923146,
17,0.0,142.0647949185534,0.007102214534235665,
18,0.0,174.49305876946448,0.007110106434815033,
19,0.0006166666666666666,202.11149477008297,0.00717022360703882,
20,0.0008111111111111111,244.8872221027855,0.007202502299638582,
