step,coverage,distance,uncertainty,siren
0,0.05818035632175619,5.818035632175619,0.002139572028720027,
1,0.14849914594827385,14.849914594827386,0.0023638771577463354,
2,0.19567302135554696,19.567302135554694,0.002776864947980438,
3,0.2519591542889459,25.195915428894587,0.002909060568157454,
4,0.2976537961489438,29.76537961489438,0.0034214448493911833,
5,0.3534715839596451,35.34715839596451,0.00391410121541121,
6,0.4838967140309338,48.38967140309338,0.004202980127383813,
7,0.6641901193577092,66.41901193577092,0.004410097554938208,
8,0.8220090423441095,82.20090423441096,0.004481168553581423,
9,0.9050088443005635,90.50088443005635,0.004629382283886176,
10,0.9521182894187846,95.21182894187847,0.004700725090900798,
11,1.0,106.2994007174465,0.004752937202337974,
12,1.0,112.47776128011449,0.0047801788039967905,
13,1.0,117.63161418733344,0.004816962026925305,
14,1.0,123.46011743574219,0.004845498470662601,
