step,coverage,distance,uncertainty,siren
0,1.0,3.849903161068829,0.002135425813763868,
1,1.0,9.45088955804478,0.002299955841585567,
2,1.0,21.356527595514457,0.002388191349877484,
3,1.0,26.408369727398718,0.0024285453963287483,
4,1.0,31.138559166914625,0.002793089562024559,
5,1.0,38.75311592257121,0.0029931934065689954,
6,1.0,42.97616172367452,0.003327169827888267,
7,1.0,47.550702949302114,0.0038448724994251584,
8,1.0,55.78795869076366,0.004403788396443189,
9,1.0,68.3369894530369,0.0046218952827233204,
10,1.0,77.45583307196486,0.0047204791694329794,
11,1.0,82.52058616714616,0.005283027051450659,
12,1.0,90.4735627286364,0.005614785707258206,
13,1.0,95.22347720375842,0.006055644749577105,
14,1.0,102.11095399434187,0.006449629478558523,
15,1.0,107.7263781821654,0.0066689058464592865,
16,1.0,114.25481356254224,0.007050934938273147,
17,1.0,120.51351749955424,0.0073880213736617914,
18,1.0,125.49173475638521,0.007546728314222613,
19,1.0,160.65102010322994,0.0076927504267753745,
20,1.0,178.80780545021426,0.007766008392948424,
